user_id,vehicle_model,battery_capacity_kwh,charging_station_id,charging_station_location,charging_start_time,charging_end_time,energy_consumed_kwh,charging_duration_hours,charging_rate_kw,charging_cost_usd,time_of_day,day_of_week,state_of_charge_start,state_of_charge_end,distance_driven_since_last_chargekm,temperature_c,vehicle_age_years,charger_type,user_type
User_50,BMW i3,100.0,Station_36,New York,2024-01-03 01:00:00,2024-01-03 03:40:00,8.7131905759,2.2095428235,49.2753455894,9.6441014139,Afternoon,Saturday,27.1961960126,86.8939176403,170.4750541227,5.378079584,6.0,Level 2,Long-Distance Traveler
User_51,BMW i3,85.0,Station_109,San Francisco,2024-01-03 02:00:00,2024-01-03 02:48:00,9.0658808154,0.512378183,40.1780019915,24.5018933101,Morning,Tuesday,13.8738581134,93.6284230626,226.2193631647,30.6919838018,2.6163324827,DC Fast Charger,Casual Driver
User_52,BMW i3,50.0,Station_55,Los Angeles,2024-01-03 03:00:00,2024-01-03 05:06:00,58.7339736169,1.8892615183,13.1757272963,28.1023100572,Morning,Saturday,83.8619269083,71.3744825092,57.3807242523,1.9411051565,3.0,Level 1,Commuter
User_53,BMW i3,50.0,Station_192,Chicago,2024-01-03 04:00:00,2024-01-03 05:35:00,65.9862491273,3.3138023577,46.2784433132,18.8496104054,Morning,Wednesday,17.3896671421,73.4380396238,234.9966615729,-7.7194259111,0.0,Level 2,Long-Distance Traveler
User_54,Hyundai Kona,62.0,Station_219,Los Angeles,2024-01-03 05:00:00,2024-01-03 06:48:00,74.9997064337,1.9113031544,35.9251261238,34.0866186582,Night,Tuesday,87.2893057994,80.4164172952,51.8283520174,17.8053836461,5.0,DC Fast Charger,Long-Distance Traveler
User_55,Chevy Bolt,100.0,Station_185,Houston,2024-01-03 06:00:00,2024-01-03 07:55:00,17.7694364094,3.3140797633,34.4582419373,9.798498138,Evening,Thursday,27.6974924862,70.5102672486,166.3114629995,19.7033591794,4.0,DC Fast Charger,Casual Driver
User_56,Tesla Model 3,76.876100376,Station_69,New York,2024-01-03 07:00:00,2024-01-03 09:33:00,50.2689340744,1.6783584199,36.3033723483,38.9419399626,Evening,Saturday,13.4882706869,82.6952118585,133.9920936432,3.042829341,0.0,DC Fast Charger,Casual Driver
User_57,BMW i3,69.8840742492,Station_317,San Francisco,2024-01-03 08:00:00,2024-01-03 11:51:00,76.4504649874,3.8734499806000002,11.3390631626,30.1922344388,Evening,Wednesday,63.6744634363,55.389776084,191.9379149943,10.4246450299,2.0,Level 2,Commuter
User_58,Nissan Leaf,62.0,Station_130,Houston,2024-01-03 09:00:00,2024-01-03 12:59:00,77.8637267603,0.9179022473,47.1540098035,28.3031911161,Afternoon,Saturday,56.9174217632,57.4656822503,129.3894111091,38.466779446,3.0,DC Fast Charger,Casual Driver
User_59,BMW i3,100.0,Station_55,Chicago,2024-01-03 10:00:00,2024-01-03 12:59:00,21.8929926751,1.2852838969,25.3739543052,8.6378216906,Morning,Saturday,80.2255338056,64.6673618829,148.4156116631,5.0731677242,7.0,DC Fast Charger,Casual Driver
User_60,Nissan Leaf,100.0,Station_378,Houston,2024-01-03 11:00:00,2024-01-03 12:15:00,71.2800041624,2.4137549369,40.6163992301,6.7447288122,Evening,Wednesday,26.1565979509,89.9245885277,140.4652131712,33.0577308063,5.0,Level 2,Casual Driver
User_61,Nissan Leaf,62.0,Station_97,Houston,2024-01-03 12:00:00,2024-01-03 14:22:00,21.8276881774,2.0821000071,26.5071232215,36.0680414962,Evening,Tuesday,33.2559850918,51.5011322672,48.0443871562,38.6564439573,7.0,Level 1,Casual Driver
User_62,BMW i3,75.0,Station_336,Chicago,2024-01-03 13:00:00,2024-01-03 15:00:00,62.7231622913,2.11789335,30.9970269341,30.0444423528,Morning,Monday,82.8441800657,72.8332856872,282.9423217736,32.8527326236,7.0,DC Fast Charger,Casual Driver
User_63,Hyundai Kona,124.3159113855,Station_87,Houston,2024-01-03 14:00:00,2024-01-03 16:50:00,46.1951370011,0.6505075791,47.8775235576,30.8641808578,Afternoon,Sunday,53.0051853266,59.9016462731,25.0272572557,6.1712567095,1.0,Level 2,Commuter
User_64,Nissan Leaf,100.0,Station_294,San Francisco,2024-01-03 15:00:00,2024-01-03 16:02:00,29.3456598573,2.4820906753,6.8711846212,24.6497587299,Night,Saturday,85.331419019,67.4779056256,127.0218010603,34.0619391914,0.0,Level 1,Long-Distance Traveler
User_65,Nissan Leaf,50.0,Station_119,Los Angeles,2024-01-03 16:00:00,2024-01-03 18:42:00,76.9334218997,2.1234202003,34.1768555028,34.2283019045,Night,Friday,27.1746153339,92.1446336973,295.8937220746,7.9416880917,2.5918513275,DC Fast Charger,Casual Driver
User_66,BMW i3,62.0,Station_208,Houston,2024-01-03 17:00:00,2024-01-03 18:46:00,59.2546016641,1.279620696,25.6037993318,12.2204383036,Night,Thursday,77.0369739869,91.8292748715,167.2975727731,35.2714506863,7.0,Level 2,Long-Distance Traveler
User_67,Nissan Leaf,100.0,Station_334,San Francisco,2024-01-03 18:00:00,2024-01-03 21:04:00,37.0629277785,1.6090994325999999,15.2300625877,37.8753345766,Morning,Wednesday,7.520444727,67.7978726501,98.1459810196,16.483705935,2.0,Level 2,Long-Distance Traveler
User_68,Nissan Leaf,85.0,Station_413,Los Angeles,2024-01-03 19:00:00,2024-01-03 21:30:00,67.6951617512,0.8575824648,32.9750687414,13.7756192129,Afternoon,Saturday,22.488399811,86.7776661142,81.2845003768,-7.3326483038,6.0,DC Fast Charger,Casual Driver
User_69,BMW i3,75.0,Station_154,Los Angeles,2024-01-03 20:00:00,2024-01-03 22:37:00,16.4140169325,1.7029748224999999,25.6037993318,21.6677866439,Morning,Sunday,36.9502836111,77.1361649352,188.4714898183,18.538710818,7.0,Level 1,Casual Driver
User_70,BMW i3,50.0,Station_35,Houston,2024-01-03 21:00:00,2024-01-03 22:47:00,67.0056821432,3.608030961,4.0923608652,14.423966391,Night,Monday,57.677660751,57.1128622485,276.3684303122,-2.7249027659,4.1227674569,Level 1,Long-Distance Traveler
User_71,Tesla Model 3,75.0,Station_79,San Francisco,2024-01-03 22:00:00,2024-01-04 01:01:00,70.6172925948,3.2801429688,26.0704136274,15.4707779072,Evening,Wednesday,86.2260251957,57.9696554231,23.0039987493,34.8479079754,2.7713464837,Level 1,Commuter
User_72,Hyundai Kona,75.0,Station_67,Houston,2024-01-03 23:00:00,2024-01-04 00:36:00,61.1304758304,0.9472772089,23.2818049605,37.1489817285,Evening,Saturday,34.8990437492,92.3556611745,58.8553155179,7.662649709,1.0,DC Fast Charger,Long-Distance Traveler
User_73,Hyundai Kona,85.0,Station_343,Chicago,2024-01-04 00:00:00,2024-01-04 02:24:00,22.8820384215,1.5694707136,29.9892225022,10.7095820244,Evening,Thursday,15.6744854697,96.5977024177,98.4740270928,19.2131644868,3.0,DC Fast Charger,Commuter
User_74,Nissan Leaf,59.8327265122,Station_413,Los Angeles,2024-01-04 01:00:00,2024-01-04 02:32:00,12.894887186,0.581504778,40.8840988982,15.1973341654,Night,Friday,31.5491822039,97.4625409817,183.1712811493,28.6376043229,2.0,Level 1,Long-Distance Traveler
User_75,Hyundai Kona,85.0,Station_34,Houston,2024-01-04 02:00:00,2024-01-04 04:22:00,69.1691670557,2.2852421613000002,5.5573585093,20.766464408,Afternoon,Wednesday,41.0890448714,74.3995185288,276.5748191559,20.0143244663,4.0,Level 1,Casual Driver
User_76,Nissan Leaf,50.0,Station_97,Los Angeles,2024-01-04 03:00:00,2024-01-04 05:03:00,42.6914053796,3.5206903759,9.5692450731,24.7907232332,Night,Saturday,51.2814034734,93.1984628325,171.8961532324,-5.2757279796,4.0,Level 1,Commuter
User_77,Tesla Model 3,100.0,Station_169,San Francisco,2024-01-04 04:00:00,2024-01-04 05:17:00,49.2788373995,3.8651361067,49.411519257,39.9316807605,Morning,Tuesday,86.3269882429,75.5015104402,246.3443697108,30.0820588067,0.0,Level 1,Long-Distance Traveler
User_78,BMW i3,75.0,Station_169,New York,2024-01-04 05:00:00,2024-01-04 08:40:00,31.2188896838,3.340997592,30.0259126716,17.6048953132,Afternoon,Monday,39.5176167628,71.2717646355,242.4855629063,39.8314297712,3.0,Level 2,Commuter
User_79,BMW i3,100.0,Station_151,Houston,2024-01-04 06:00:00,2024-01-04 09:55:00,30.6516998186,1.0288186666,28.5223533355,39.3220543801,Evening,Friday,38.1213299929,81.1972108398,12.1495166781,-4.9327434432,1.0,DC Fast Charger,Casual Driver
User_80,BMW i3,75.0,Station_71,Houston,2024-01-04 07:00:00,2024-01-04 07:41:00,59.986476733,3.7293653998,23.41792115,15.6830165627,Afternoon,Wednesday,88.0967684637,96.130568592,281.7637403236,15.0606224485,0.0,Level 1,Commuter
User_81,Hyundai Kona,48.0506947258,Station_3,Los Angeles,2024-01-04 08:00:00,2024-01-04 11:05:00,51.6737477936,0.6917553642000001,46.5956784148,18.0118117789,Afternoon,Saturday,55.0721740778,62.9357801094,222.2746666893,2.5542438031,7.0,Level 2,Casual Driver
User_82,Tesla Model 3,50.0,Station_314,San Francisco,2024-01-04 09:00:00,2024-01-04 12:21:00,35.9072426531,2.7255608457,25.601620872,19.2835226966,Night,Friday,48.8876242556,43.0507561223,93.8578676864,33.0767514596,6.0,Level 1,Casual Driver
User_83,Hyundai Kona,85.0,Station_32,Chicago,2024-01-04 10:00:00,2024-01-04 13:20:00,41.6078335326,0.8070687454000001,25.6037993318,29.5329328656,Afternoon,Tuesday,54.9976490823,97.2616162435,94.6452501646,17.7373877896,3.0,Level 1,Commuter
User_84,Hyundai Kona,62.0,Station_287,San Francisco,2024-01-04 11:00:00,2024-01-04 13:54:00,32.8329568325,3.4086383449,44.4923661397,39.6748233847,Night,Wednesday,26.654722048,63.7106269185,279.8982720475,5.8033894982,1.0,Level 2,Casual Driver
User_85,Tesla Model 3,50.0,Station_82,Houston,2024-01-04 12:00:00,2024-01-04 13:09:00,57.9244500405,1.2611172926,12.5381619069,19.8173229084,Morning,Friday,49.872034053,54.2614330212,64.1354548368,1.8254496872,1.0,Level 1,Casual Driver
User_86,Tesla Model 3,100.0,Station_43,Chicago,2024-01-04 13:00:00,2024-01-04 16:26:00,21.6561641157,1.8944268875999999,32.9545108152,18.0255099868,Afternoon,Wednesday,78.4346282642,97.7254403636,170.5577253714,10.4015114335,3.0,Level 1,Casual Driver
User_87,Tesla Model 3,62.0,Station_391,San Francisco,2024-01-04 14:00:00,2024-01-04 15:54:00,41.0105817455,3.3669557755,45.3201095977,18.0665217349,Afternoon,Wednesday,73.622836839,83.0542733584,103.7883061403,-4.572249344,3.0,Level 2,Commuter
User_88,Tesla Model 3,62.0,Station_105,New York,2024-01-04 15:00:00,2024-01-04 16:26:00,79.8186944709,2.6064796292,13.0097322309,35.971316971,Afternoon,Friday,86.1117565009,69.3956315194,274.0206539154,10.6922100899,2.0,Level 2,Casual Driver
User_89,BMW i3,85.0,Station_1,Los Angeles,2024-01-04 16:00:00,2024-01-04 17:56:00,33.0729495055,1.469659587,30.3447484458,15.5508382259,Evening,Wednesday,105.0322240419,83.0234731184,164.6828923514,-6.5144318266,1.0,Level 2,Long-Distance Traveler
User_90,Chevy Bolt,75.0,Station_61,San Francisco,2024-01-04 17:00:00,2024-01-04 18:53:00,27.8431524716,2.5431396607,17.004643847,12.2783319174,Night,Tuesday,47.9921833465,85.8651868853,79.3549790427,7.5168616534,7.0,Level 2,Casual Driver
User_91,Chevy Bolt,50.0,Station_270,San Francisco,2024-01-04 18:00:00,2024-01-04 21:41:00,28.4407739178,1.0796586546,42.4251268332,13.7798041755,Night,Friday,13.6672408035,96.3460346158,398.3647747437,27.8131355494,0.0,Level 2,Long-Distance Traveler
User_92,Tesla Model 3,62.0,Station_180,New York,2024-01-04 19:00:00,2024-01-04 22:52:00,68.5730247132,2.9303906462000002,5.4546927019,15.8894144792,Evening,Saturday,50.3166910148,93.8934503455,191.4559944862,37.8997910528,4.0,Level 1,Commuter
User_93,Chevy Bolt,85.0,Station_224,Houston,2024-01-04 20:00:00,2024-01-04 23:34:00,65.4310169134,0.9294865538,20.2726989351,10.3956579724,Night,Sunday,76.4668116374,75.8499570265,71.4360042401,30.1997095572,6.0,DC Fast Charger,Long-Distance Traveler
User_94,Chevy Bolt,75.0,Station_6,Los Angeles,2024-01-04 21:00:00,2024-01-04 23:30:00,71.6156894911,3.5150120064,31.271844527,21.2635605093,Morning,Friday,51.794505044,64.5543632497,16.681445823,-1.7198500093,3.0,Level 2,Casual Driver
User_95,Tesla Model 3,85.0,Station_103,San Francisco,2024-01-04 22:00:00,2024-01-05 01:51:00,7.9309014501,2.3423957855,44.1221299881,33.8184301126,Evening,Tuesday,42.7390717638,72.966023101,55.677505051,16.8083582679,7.0,DC Fast Charger,Casual Driver
User_96,Chevy Bolt,24.5999221484,Station_10,Chicago,2024-01-04 23:00:00,2024-01-05 00:43:00,42.6914053796,1.3824979123,32.4365489765,38.0580223151,Night,Tuesday,48.3273536839,85.0674221187,152.2598669908,23.3984683587,5.0,Level 1,Casual Driver
User_97,Hyundai Kona,75.0,Station_71,San Francisco,2024-01-05 00:00:00,2024-01-05 02:16:00,55.7292033541,3.8290118099,21.7230673235,38.0937175091,Morning,Tuesday,63.4049681429,68.3478556376,74.0521927309,34.6634557709,0.0,Level 2,Casual Driver
User_98,Nissan Leaf,85.0,Station_90,Los Angeles,2024-01-05 01:00:00,2024-01-05 03:33:00,31.0465749615,0.6902816245000001,28.0048591522,6.2545453314,Night,Saturday,47.1578609568,66.1934883952,152.2598669908,15.6273959209,7.0,DC Fast Charger,Casual Driver
User_99,Nissan Leaf,62.0,Station_226,San Francisco,2024-01-05 02:00:00,2024-01-05 05:47:00,15.9175632375,3.3483906503,17.551626215,9.5312083808,Evening,Saturday,80.1987233054,73.2165220698,117.7918399795,15.4358070308,0.9252766613000001,DC Fast Charger,Casual Driver
User_100,Tesla Model 3,100.0,Station_158,New York,2024-01-05 03:00:00,2024-01-05 05:09:00,50.9034823551,3.6213171013,25.6037993318,28.3388870334,Night,Sunday,54.4492044567,60.557818877,10.4419292262,30.0448828833,7.0,DC Fast Charger,Commuter
